aID_STAO,elevation,HS,land_use,SR_pl_mean,SR_pl_trend,T_pl_mean,T_pl_trend,SR_mo_mean,SR_mo_trend,T_mo_mean,T_mo_sh_mean,T_mo_lo_mean,T_mo_trend,T_mo_sh_trend,T_mo_lo_trend,TU_mo,TU_pl
90,390,colline,grassland,37.333333333333336,-9.000000000000023,3.5633333333333335,-0.09000000000000165,7.333333333333333,-3.000000000000005,3.1666666666666665,NaN,3.1666666666666665,-0.33000000000000146,NA,-0.3333333333333354,0.6551226551226551,0.40529277485799226
91,1246,montane,forest,13,-3.000000000000009,3.04,-0.04000000000000004,25.666666666666668,-4.00000000000001,3.033333333333333,3,3.0373737373737373,0.05999999999999935,-7.691850745534254e-16,0.06666666666666529,0.34806080830552466,0.30912698412698414
92,1291,montane,forest,8.5,-5.999999999999994,3.215,0.30000000000000193,16,1.0048591735576161e-14,3.04,3,3.0555555555555554,-0.1599999999999982,1.2560739669470201e-15,-0.22222222222222124,0.35294117647058826,0.7272727272727273
93,1157,montane,forest,12.75,6.599999999999999,3.2675,-0.04199999999999999,20,2.000000000000001,3.0425,3,3.053754578754579,0.034000000000000516,0,0.04080586080586066,0.5409691623459739,0.7154509025832555
94,1457,subalpine,grassland,38,3.999999999999976,2.8333333333333335,0.08999999999999928,5,-4.000000000000002,4,4,NaN,NA,NA,NA,1,0.32569139355989835
95,1158,montane,forest,29,4.000000000000022,2.9,0.1600000000000007,36,-8.000000000000005,2.965,2.875,2.979166666666667,-0.13999999999999874,-0.4999999999999978,-0.08333333333333108,0.4146341463414634,0.34375
96,1201,montane,forest,32,-6.000000000000026,3.1266666666666665,-0.0100000000000012,13.666666666666666,18.999999999999993,2.9,2.625,2.9387254901960786,-0.10000000000000027,0.5000000000000002,-0.05882352941176569,0.6666666666666666,0.35586635586635584
97,1207,montane,forest,18,1.9999999999999944,3.13,0.04999999999999884,19.666666666666668,-8.000000000000005,2.9266666666666667,2.694444444444444,2.982456140350877,0.019999999999999206,-1.4719616800160392e-15,0.05263157894736765,0.2681159420289855,0.17254901960784313
98,840,montane,grassland,37.25,2.5999999999999996,3.2575,-0.006000000000000047,2.25,1.4,3,NaN,3,1.25607396694702e-15,NA,1.25607396694702e-15,0.5,0.3353175626289637
99,799,montane,grassland,21.666666666666668,-6.000000000000009,3.2666666666666666,-0.020000000000000833,1.3333333333333333,-2.0000000000000004,NaN,NaN,NaN,NA,NA,NA,0.5,0.5193489306392532
100,738,montane,forest,31,NA,3.35,NA,7,NA,3.67,3.6666666666666665,NaN,NA,NA,NA,NA,NA
101,698,montane,grassland,17,-1.000000000000008,3.3833333333333333,0.04999999999999974,2,-0,4,4,NaN,2.5121479338940403e-15,2.5121479338940403e-15,NA,0.3333333333333333,0.5883838383838383
102,705,montane,grassland,26.333333333333332,9.999999999999993,3.3733333333333335,-0.050000000000001654,4.666666666666667,-1.0000000000000018,3.3333333333333335,4,3,-1.0000000000000007,NA,1.2560739669470201e-15,0.5055555555555555,0.37218915343915343
103,855,montane,forest,27.75,-3.7246049661399567,3.215,-0.05914221218961612,11.5,-2.1218961625282167,3.0275,3.1666666666666665,3,0.07200902934537266,0.4999999999999987,0,0.5633169934640523,0.276748330074943
104,895,montane,forest,8.333333333333334,-1.0000000000000004,3.3166666666666664,-0.020000000000001145,9,2.999999999999999,3.0433333333333334,3.25,3,0.12999999999999898,0.5000000000000016,-7.691850745534254e-16,0.5833333333333334,0.3055555555555555
105,1219,montane,grassland,31.333333333333332,-6.0000000000000115,3.2800000000000002,0.02999999999999913,3.3333333333333335,-2.0000000000000013,3.25,3.5,3,-0.9999999999999981,NA,NA,0.7222222222222222,0.4265737874097007
106,1193,subalpine,grassland,25.5,-2.799999999999998,3.1975000000000002,-0.03399999999999962,2,0,3,3,3,1.2560739669470203e-15,NA,NA,0.7222222222222222,0.3515936323631148
107,1041,montane,grassland,26.666666666666668,4.999999999999996,3.34,-0.12000000000000188,8,2.9999999999999973,3.5,3.5,4,1.0000000000000013,1.0000000000000013,NA,0.7166666666666667,0.29654348453013635
108,1002,montane,grassland,30,-4.966139954853275,3.32,0.060496613995485206,1.5,-1.3995485327313777,4,4,NaN,NA,NA,NA,0.6666666666666666,0.35454782574959276
109,519,montane,grassland,35.333333333333336,-3.000000000000003,3.3466666666666667,-0.02000000000000112,5.333333333333333,-1.25607396694702e-15,3,3,3,-7.691850745534254e-16,NA,-7.691850745534254e-16,0.4845238095238095,0.3690568475452196
110,770,montane,grassland,43,9.999999999999986,3.2466666666666666,0.1399999999999977,9.333333333333334,0.9999999999999962,3.2733333333333334,3.888888888888889,3,0.08999999999999847,-0.3333333333333345,-7.691850745534255e-16,0.5737595737595738,0.40872335211957855
111,2517,alpine,unused,0,-0,NaN,NA,5,-1.000000000000001,1.2766666666666666,1,1.5,-0.17000000000000026,-0,-0.5000000000000006,0.5,NA
112,1339,montane,forest,10,-6.799999999999999,2.6325000000000003,-0.06600000000000071,21.5,3.5999999999999996,2.9000000000000004,2.7291666666666665,2.939160401002506,-1.7998372611042727e-16,0.04999999999999982,-0.00887218045112786,0.35201739618406286,0.4824346405228758
113,1613,montane,forest,11.5,7.6,2.5324999999999998,0.053999999999999555,13.75,-4.200000000000001,2.49,1.75,2.6791666666666667,-0.09200000000000036,-0.5999999999999999,0.18555555555555522,0.5347599296128708,0.5078703703703704
114,541,colline,forest,21,-4.591836734693881,3.5075000000000003,-0.05816326530612218,14.5,-2.6530612244897958,3.315,3,3.3920454545454546,-0.11326530612244984,0,-0.10435992578849752,0.6367609729451834,0.43500371298616913
115,1297,montane,grassland,49.666666666666664,2.9999999999999982,3.19,0.019999999999999036,9.333333333333334,5.9999999999999964,3.5566666666666666,4,3.3333333333333335,-0.33000000000000107,NA,-1.0000000000000004,0.6166666666666667,0.2558222450405739
116,731,colline,forest,17,2.000000000000001,3.5549999999999997,0.05000000000000052,3.5,-4.999999999999998,3.5,3,4,NA,NA,NA,1,0.2631578947368421
117,746,colline,forest,15,4.799999999999999,3.3975,0.018000000000000505,7,2.4000000000000004,3.2575000000000003,3,3.354166666666667,-0.07799999999999993,0,-0.15000000000000036,0.49074074074074076,0.5404582259845417
